CustCode,CustName,VouchDate,Voucher,ReffNo,,Debit,,Credit,,Balance,,,,
TSS029-SGD,Senator International Singapore Pte Ltd,,,,,,,,,,115.35,,,
,,4/22/2020,PI012031,6500046545,,115.35,,0,,115.35,,,,
,,,,,,115.35,,0,,115.35,,,,
TST003-SGD,Titan Welding Co.,,,,,,,,,,489.96,,,
,,4/1/2020,PI012036,850846,,280.34,,0,,280.34,,,,
,,4/1/2020,PI012038,R43681,,98.39,,0,,98.39,,,,
,,4/15/2020,PI012037,R44015,,111.23,,0,,111.23,,,,
,,,,,,489.96,,0,,489.96,,,,
TSU001-SGD,United Overseas Insurance Limited,,,,,,,,,,,,,
,,10/7/2019,PC000552,HO/RC0241564,,0,,264.99,,-264.99,,,,
,,1/1/2020,PI011742,HO/MN2180441,,154,,0,,154,,,,
,,,,,,154,,264.99,,-110.99,,,,
TSU004-SGD,UNI-CRANE PTE LTD,,,,,,,,,,,,,
,,11/20/2017,PI009300,UC/INV-17/0362,,"1,605.00",,0,,"1,605.00",,,,
,,,,,,"1,605.00",,0,,"1,605.00",,,,
TSV001-SGD,Verope Distribution Singapore Pte Ltd,,,,,,,,,,"1,725.38",,,
,,4/1/2020,PI012032,202002598,,"1,725.38",,0,,"1,725.38",,,,
,,,,,,"1,725.38",,0,,"1,725.38",,,,
TSY001-SGD,Y.H.L Logistics Pte Ltd,,,,,,,,,,"5,293.16",,,
,,4/1/2020,PI011991,YHL202003-0200,,"5,293.16",,0,,"5,293.16",,,,
,,4/29/2020,PI012030,YHL202004-0097,,133.75,,0,,133.75,,,,
,,,,,,"5,426.91",,0,,"5,426.91",,,,
TSZ001-SGD,ZLX Engineering Pte Ltd,,,,,,,,,,"18,228.74",,,
,,3/1/2020,PI011928,2003/030,,"1,926.00",,0,,"1,926.00",,,,
,,3/1/2020,PI011929,2003/031,,481.5,,0,,481.5,,,,
,,3/1/2020,PI011930,2003/032,,"1,926.00",,0,,"1,926.00",,,,
,,3/1/2020,PI011931,2003/033,,481.5,,0,,481.5,,,,
,,3/1/2020,PI011932,2003/034,,481.5,,0,,481.5,,,,
,,3/1/2020,PI011933,2003/035,,481.5,,0,,481.5,,,,
,,3/1/2020,PI011934,2003/036,,963,,0,,963,,,,
,,3/1/2020,PI011935,2003/067,,695.5,,0,,695.5,,,,
,,3/1/2020,PI011936,2003/089,,"1,444.50",,0,,"1,444.50",,,,
,,3/1/2020,PI011937,2003/104,,"7,276.00",,0,,"7,276.00",,,,
,,3/1/2020,PI011938,2003/107,,428,,0,,428,,,,
,,3/1/2020,PI011939,2003/132,,963,,0,,963,,,,
,,3/1/2020,PI011940,2003/146,,680.74,,0,,680.74,,,,
,,4/1/2020,PI012001,2004/027,,"1,926.00",,0,,"1,926.00",,,,
,,4/1/2020,PI012002,2004/028,,481.5,,0,,481.5,,,,
,,4/1/2020,PI012003,2004/029,,"1,926.00",,0,,"1,926.00",,,,
,,4/1/2020,PI012004,2004/030,,481.5,,0,,481.5,,,,
,,4/1/2020,PI012005,2004/031,,481.5,,0,,481.5,,,,
,,4/1/2020,PI012006,2004/032,,481.5,,0,,481.5,,,,
,,4/1/2020,PI012007,2004/033,,963,,0,,963,,,,
,,4/1/2020,PI012008,2004/063,,695.5,,0,,695.5,,,,
,,4/1/2020,PI012009,2004/084,,"1,444.50",,0,,"1,444.50",,,,
,,4/1/2020,PI012010,2004/099,,"7,276.00",,0,,"7,276.00",,,,
,,4/1/2020,PI012011,2004/102,,428,,0,,428,,,,
,,4/1/2020,PI012012,2004/126,,963,,0,,963,,,,
,,4/1/2020,PI012013,2004/138,,481.5,,0,,481.5,,,,
,,4/1/2020,PI012014,2004/152,,449.4,,0,,449.4,,,,
,,5/1/2020,PI012075,2005/027,,"1,926.00",,0,,"1,926.00",,,,
,,5/1/2020,PI012076,2005/028,,481.5,,0,,481.5,,,,
,,5/1/2020,PI012077,2005/029,,"1,926.00",,0,,"1,926.00",,,,
,,5/1/2020,PI012078,2005/030,,481.5,,0,,481.5,,,,
,,5/1/2020,PI012079,2005/031,,481.5,,0,,481.5,,,,
,,5/1/2020,PI012080,2005/032,,481.5,,0,,481.5,,,,
,,5/1/2020,PI012081,2005/033,,963,,0,,963,,,,
,,5/1/2020,PI012082,2005/063,,695.5,,0,,695.5,,,,
,,5/1/2020,PI012083,2005/082,,"1,444.50",,0,,"1,444.50",,,,
,,5/1/2020,PI012084,2005/097,,"7,276.00",,0,,"7,276.00",,,,
,,5/1/2020,PI012085,2005/100,,428,,0,,428,,,,
,,5/1/2020,PI012086,2005/123,,"1,444.50",,0,,"1,444.50",,,,
,,5/1/2020,PI012087,2005/135,,481.5,,0,,481.5,,,,
,,,,,,"55,218.64",,0,,"55,218.64",,,,
,,,,,,"9,153,500.44",,"68,346.84",,"9,085,153.60",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Total AMT,60985.97,,
